strategy_id,coin,tf,mode_params,n,wr_pct,mode_a_ret_pct,bh_ret_pct,x_bh,pass_coin,thin_flag,max_dd_6m_pct,gate_full,ret_full_pct,bh_full_pct,x_bh_full,n_full,wr_full_pct,max_dd_full_pct,ops_ret_6m_pct,ops_ret_full_pct,btc_smoke,eth_smoke,sol_smoke,bnb_smoke,notes
apirine-sdo-zero-cross,BTCUSDT,1h,"mode_a|(n14,lb100,pds3)",173,24.9,-32.47,26.41,-1.229,N,—,46.68,FAIL,-81.53,37.12,-2.196,663,24.4,86.76,-0.91,-3.89,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,1h,"mode_a|(n8,lb50,pds3)",237,24.1,-47.78,26.41,-1.809,N,—,55.37,FAIL,-91.16,37.12,-2.456,929,24.2,92.92,-1.53,-5.65,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,1h,"mode_a|(n14,lb50,pds3)",171,25.1,-31.81,26.41,-1.205,N,—,46.05,FAIL,-81.42,37.12,-2.193,654,24.6,86.58,-0.88,-3.88,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,1h,"mode_a|(n20,lb100,pds5)",107,29.0,-2.17,26.41,-0.082,N,—,25.26,FAIL,-65.26,37.12,-1.758,429,24.2,79.96,0.02,-2.35,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,1h,"mode_a|(n40,lb200,pds6)",63,30.2,7.34,26.41,0.278,N,—,13.80,FAIL,-32.64,37.12,-0.879,262,26.7,61.01,0.25,-0.72,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,1h,"mode_b|(n14,lb100,pds3,rising)",173,24.9,-32.47,26.41,-1.229,N,—,46.68,FAIL,-81.53,37.12,-2.196,663,24.4,86.76,-0.91,-3.89,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,4h,"mode_a|(n14,lb100,pds3)",34,26.5,4.47,23.37,0.191,N,—,21.15,FAIL,-7.59,36.95,-0.205,153,30.1,54.44,0.20,0.07,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,4h,"mode_a|(n8,lb50,pds3)",56,33.9,3.47,23.37,0.149,N,—,18.59,FAIL,-33.88,36.95,-0.917,217,30.9,63.14,0.15,-0.78,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,4h,"mode_a|(n14,lb50,pds3)",34,29.4,4.83,23.37,0.207,N,—,21.00,FAIL,-4.83,36.95,-0.131,151,31.1,54.38,0.20,0.14,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,4h,"mode_a|(n20,lb100,pds5)",29,34.5,-1.28,23.37,-0.055,N,—,22.65,FAIL,-19.68,36.95,-0.533,112,28.6,53.40,0.04,-0.33,Y,Y,Y,Y,—
apirine-sdo-zero-cross,BTCUSDT,4h,"mode_a|(n40,lb200,pds6)",15,33.3,30.89,23.37,1.322,N,THIN,13.94,FAIL,20.87,36.95,0.565,67,38.8,37.42,0.77,0.72,Y,Y,Y,Y,THIN-N (Mode-A 6m n=15 < 40; ineligible for paper even though x=1.32 >= 1.2)
apirine-sdo-zero-cross,BTCUSDT,4h,"mode_b|(n14,lb100,pds3,rising)",34,26.5,4.47,23.37,0.191,N,—,21.15,FAIL,-7.59,36.95,-0.205,153,30.1,54.44,0.20,0.07,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,1h,"mode_a|(s8,dom27)",151,31.8,-22.89,26.41,-0.867,N,—,38.70,FAIL,-81.34,37.12,-2.191,611,28.8,87.79,-0.58,-3.87,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,1h,"mode_a|(s6,dom20)",199,27.1,-33.82,26.41,-1.281,N,—,44.00,FAIL,-87.14,37.12,-2.347,793,27.5,90.36,-0.95,-4.77,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,1h,"mode_a|(s8,dom20)",170,30.0,-16.35,26.41,-0.619,N,—,32.70,FAIL,-83.89,37.12,-2.260,695,27.3,88.51,-0.37,-4.22,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,1h,"mode_a|(s10,dom34)",124,34.7,-11.76,26.41,-0.445,N,—,34.50,FAIL,-73.00,37.12,-1.967,496,30.0,83.68,-0.25,-2.96,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,1h,"mode_b|(s8,dom27,rising)",151,31.8,-22.89,26.41,-0.867,N,—,38.70,FAIL,-81.34,37.12,-2.191,611,28.8,87.79,-0.58,-3.87,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,4h,"mode_a|(s8,dom27)",35,34.3,11.86,23.37,0.507,N,—,17.56,FAIL,25.81,36.95,0.699,143,35.0,38.79,0.37,0.85,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,4h,"mode_a|(s6,dom20)",48,39.6,14.19,23.37,0.607,N,—,11.38,FAIL,-10.93,36.95,-0.296,192,33.3,48.75,0.40,-0.02,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,4h,"mode_a|(s8,dom20)",43,44.2,7.65,23.37,0.328,N,—,15.38,FAIL,31.57,36.95,0.854,169,39.1,25.92,0.26,0.94,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,4h,"mode_a|(s10,dom34)",29,34.5,-5.23,23.37,-0.224,N,—,28.52,FAIL,-15.33,36.95,-0.415,114,36.0,49.99,-0.04,-0.18,Y,Y,Y,Y,—
ehlers-madh-zero-cross,BTCUSDT,4h,"mode_b|(s8,dom27,rising)",35,34.3,11.86,23.37,0.507,N,—,17.56,FAIL,25.81,36.95,0.699,143,35.0,38.79,0.37,0.85,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,1h,"mode_a|(per8,sm5)",169,29.0,-30.43,26.41,-1.152,N,—,42.93,FAIL,-83.78,37.12,-2.257,679,28.1,88.31,-0.83,-4.19,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,1h,"mode_a|(per5,sm3)",300,22.3,-58.76,26.41,-2.225,N,—,63.50,FAIL,-95.63,37.12,-2.576,1166,26.5,96.14,-2.11,-7.29,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,1h,"mode_a|(per8,sm3)",219,26.5,-41.36,26.41,-1.566,N,—,51.91,FAIL,-91.11,37.12,-2.454,889,27.1,93.28,-1.25,-5.61,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,1h,"mode_a|(per14,sm8)",96,32.3,-4.18,26.41,-0.158,N,—,26.26,FAIL,-57.60,37.12,-1.552,397,31.7,72.67,-0.05,-1.86,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,1h,"mode_b|(per8,sm5,dip-0.2)",150,30.0,-24.27,26.41,-0.919,N,—,40.73,FAIL,-78.14,37.12,-2.105,607,28.5,83.90,-0.62,-3.48,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,4h,"mode_a|(per8,sm5)",42,35.7,12.60,23.37,0.539,N,—,15.30,FAIL,-8.06,36.95,-0.218,166,33.1,51.27,0.37,0.06,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,4h,"mode_a|(per5,sm3)",67,29.9,-8.37,23.37,-0.358,N,—,29.90,FAIL,-44.15,36.95,-1.195,270,30.7,68.97,-0.17,-1.21,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,4h,"mode_a|(per8,sm3)",57,38.6,9.54,23.37,0.408,N,—,13.35,FAIL,-16.29,36.95,-0.441,214,35.5,51.96,0.27,-0.22,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,4h,"mode_a|(per14,sm8)",28,35.7,-1.21,23.37,-0.052,N,—,24.58,FAIL,-5.50,36.95,-0.149,103,33.0,49.39,0.06,0.21,Y,Y,Y,Y,—
premier-stochastic-osc-zero,BTCUSDT,4h,"mode_b|(per8,sm5,dip-0.2)",37,35.1,11.38,23.37,0.487,N,—,12.74,FAIL,-21.17,36.95,-0.573,149,32.2,42.96,0.34,-0.41,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,1h,"mode_a|(p20,pds20,m5)",111,24.3,-16.38,26.41,-0.620,N,—,35.73,FAIL,-67.68,37.12,-1.823,454,23.1,80.11,-0.37,-2.56,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,1h,"mode_a|(p10,pds10,m5)",243,21.4,-41.97,26.41,-1.589,N,—,53.41,FAIL,-94.00,37.12,-2.532,994,20.5,95.10,-1.27,-6.56,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,1h,"mode_a|(p20,pds10,m8)",150,24.0,-25.32,26.41,-0.959,N,—,41.88,FAIL,-80.27,37.12,-2.162,614,22.0,86.62,-0.66,-3.75,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,1h,"mode_a|(p40,pds40,m10)",69,26.1,-0.11,26.41,-0.004,N,—,23.79,FAIL,-46.89,37.12,-1.263,262,22.5,69.44,0.09,-1.28,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,1h,"mode_b|(p20,pds20,m5,close_gate)",111,24.3,-16.38,26.41,-0.620,N,—,35.73,FAIL,-67.68,37.12,-1.823,454,23.1,80.11,-0.37,-2.56,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,4h,"mode_a|(p20,pds20,m5)",30,33.3,7.83,23.37,0.335,N,—,18.88,FAIL,-11.62,36.95,-0.314,112,31.2,54.38,0.27,-0.00,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,4h,"mode_a|(p10,pds10,m5)",68,20.6,-8.22,23.37,-0.352,N,—,30.29,FAIL,-47.77,36.95,-1.293,245,24.1,71.45,-0.13,-1.34,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,4h,"mode_a|(p20,pds10,m8)",42,26.2,4.90,23.37,0.210,N,—,22.53,FAIL,-29.66,36.95,-0.803,158,22.8,65.14,0.21,-0.54,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,4h,"mode_a|(p40,pds40,m10)",18,27.8,12.57,23.37,0.538,N,—,14.63,FAIL,-15.90,36.95,-0.430,71,29.6,50.14,0.37,-0.19,Y,Y,Y,Y,—
apirine-tradj-ema-cross,BTCUSDT,4h,"mode_b|(p20,pds20,m5,close_gate)",30,33.3,7.83,23.37,0.335,N,—,18.88,FAIL,-11.62,36.95,-0.314,112,31.2,54.38,0.27,-0.00,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,1h,"mode_a|(n14,lb100,pds3)",168,23.2,-16.84,35.66,-0.472,N,—,41.68,FAIL,-75.42,8.68,-8.688,665,25.0,84.71,-0.32,-2.79,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,1h,"mode_a|(n8,lb50,pds3)",244,21.7,-48.70,35.66,-1.366,N,—,59.48,FAIL,-84.47,8.68,-9.731,902,26.1,87.85,-1.52,-3.98,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,1h,"mode_a|(n14,lb50,pds3)",167,24.0,-15.64,35.66,-0.439,N,—,40.69,FAIL,-75.28,8.68,-8.673,663,25.3,84.59,-0.28,-2.77,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,1h,"mode_a|(n20,lb100,pds5)",105,30.5,9.50,35.66,0.266,N,—,27.24,FAIL,-56.19,8.68,-6.474,434,27.9,76.72,0.35,-1.39,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,1h,"mode_a|(n40,lb200,pds6)",74,21.6,-9.61,35.66,-0.270,N,—,24.84,FAIL,-35.89,8.68,-4.135,280,27.5,58.21,-0.14,-0.55,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,1h,"mode_b|(n14,lb100,pds3,rising)",168,23.2,-16.84,35.66,-0.472,N,—,41.68,FAIL,-75.42,8.68,-8.688,665,25.0,84.71,-0.32,-2.79,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,4h,"mode_a|(n14,lb100,pds3)",44,20.5,-11.31,30.15,-0.375,N,—,31.32,FAIL,-9.93,8.53,-1.163,174,24.1,58.44,-0.16,0.44,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,4h,"mode_a|(n8,lb50,pds3)",59,23.7,-14.85,30.15,-0.492,N,—,27.62,FAIL,-46.89,8.53,-5.495,224,31.2,67.35,-0.29,-1.00,Y,Y,Y,Y,—
apirine-sdo-zero-cross,ETHUSDT,4h,"mode_a|(n14,lb50,pds3)",44,20.5,-10.53,30.15,-0.349,N,—,31.32,FAIL,-17.56,8.53,-2.057,173,24.3,59.58,-0.14,0.23,Y,Y,Y,Y,—
