symbol,strategy_id,tf,mode_params,sol_smoke,bnb_smoke,sol_retention_note,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,ao-median-zero-cross-v1,1h,"mode_a|(5,34)",Y,Y,—,96,30.21,-13.3740,9.4882,-1.4095,FAIL,376,28.19,-58.4343,27.0883,-2.1572,FAIL,-0.2947,-1.9314,—
BTCUSDT,ao-median-zero-cross-v1,1h,"mode_a|(5,21)",Y,Y,—,137,27.74,-25.7639,9.4882,-2.7154,FAIL,541,26.25,-75.6763,27.0883,-2.7937,FAIL,-0.6795,-3.2357,—
BTCUSDT,ao-median-zero-cross-v1,1h,"mode_a|(8,34)",Y,Y,—,83,28.92,-13.4363,9.4882,-1.4161,FAIL,317,29.34,-59.1645,27.0883,-2.1841,FAIL,-0.2982,-1.9831,—
BTCUSDT,ao-median-zero-cross-v1,1h,"mode_b|(5,34)",Y,Y,—,57,29.82,-12.0589,9.4882,-1.2709,FAIL,223,30.04,-33.5178,27.0883,-1.2374,FAIL,-0.3040,-0.8972,—
BTCUSDT,ao-median-zero-cross-v1,4h,"mode_a|(5,34)",Y,Y,—,26,38.46,-13.5620,10.0911,-1.3440,FAIL,104,27.88,-36.8382,27.4297,-1.3430,FAIL,-0.2994,-0.9241,—
BTCUSDT,ao-median-zero-cross-v1,4h,"mode_a|(5,21)",Y,Y,—,29,31.03,0.5068,10.0911,0.0502,FAIL,128,31.25,2.1887,27.4297,0.0798,FAIL,0.0935,0.3045,—
BTCUSDT,ao-median-zero-cross-v1,4h,"mode_a|(8,34)",Y,Y,—,22,31.82,-11.2860,10.0911,-1.1184,FAIL,88,29.55,-24.1879,27.4297,-0.8818,FAIL,-0.2375,-0.4343,—
BTCUSDT,ao-median-zero-cross-v1,4h,"mode_b|(5,34)",Y,Y,—,16,18.75,-10.8724,10.0911,-1.0774,FAIL,68,29.41,-17.9602,27.4297,-0.6548,FAIL,-0.2601,-0.3686,—
BTCUSDT,pgo-threshold-zeroexit-v1,1h,"mode_a|(N14,thr2.5)",Y,Y,—,26,30.77,1.9101,9.4882,0.2013,FAIL,119,35.29,-23.9222,27.0883,-0.8831,FAIL,0.0830,-0.6155,—
BTCUSDT,pgo-threshold-zeroexit-v1,1h,"mode_a|(N14,thr2.0)",Y,Y,—,50,22.00,-7.1175,9.4882,-0.7501,FAIL,223,27.35,-53.7095,27.0883,-1.9828,FAIL,-0.1389,-1.8109,—
BTCUSDT,pgo-threshold-zeroexit-v1,1h,"mode_a|(N21,thr2.5)",Y,Y,—,37,27.03,-7.9830,9.4882,-0.8414,FAIL,165,33.33,-34.4948,27.0883,-1.2734,FAIL,-0.1689,-0.9591,—
BTCUSDT,pgo-threshold-zeroexit-v1,1h,"mode_b|(N14,thr2.5)",Y,Y,—,111,22.52,-24.9604,9.4882,-2.6307,FAIL,446,25.78,-74.3749,27.0883,-2.7456,FAIL,-0.6630,-3.1936,—
BTCUSDT,pgo-threshold-zeroexit-v1,4h,"mode_a|(N14,thr2.5)",Y,Y,—,6,33.33,8.8202,10.0911,0.8741,FAIL,31,38.71,1.2686,27.4297,0.0463,FAIL,0.2476,0.1261,—
BTCUSDT,pgo-threshold-zeroexit-v1,4h,"mode_a|(N14,thr2.0)",Y,Y,—,13,23.08,5.9395,10.0911,0.5886,FAIL,58,34.48,-20.6699,27.4297,-0.7536,FAIL,0.1842,-0.4631,—
BTCUSDT,pgo-threshold-zeroexit-v1,4h,"mode_a|(N21,thr2.5)",Y,Y,—,9,33.33,16.1473,10.0911,1.6001,PASS,43,34.88,-6.5806,27.4297,-0.2399,FAIL,0.4265,-0.0265,—
BTCUSDT,pgo-threshold-zeroexit-v1,4h,"mode_b|(N14,thr2.5)",Y,Y,—,27,18.52,-2.0166,10.0911,-0.1998,FAIL,108,26.85,-16.5526,27.4297,-0.6035,FAIL,-0.0014,-0.3185,—
BTCUSDT,roc-zero-cross-v1,1h,mode_a|(N12),Y,Y,—,330,16.67,-65.9816,9.4882,-6.9541,FAIL,1246,19.50,-97.1471,27.0883,-3.5863,FAIL,-2.5880,-8.2636,—
