symbol,strategy_id,tf,mode_params,gate_6m,gate_full,ret_6m_pct,bh_6m_pct,ratio_6m,n_6m,wr_6m_pct,max_dd_6m_pct,ret_full_pct,bh_full_pct,ratio_full,n_full,wr_full_pct,max_dd_full_pct,ops_ret_6m_pct,ops_ret_full_pct,btc_smoke,eth_smoke,sol_smoke,bnb_smoke,retention_notes,notes
BTCUSDT,katsanos-fve-zero-cross,1h,mode_a|(S22),FAIL,FAIL,-27.59,27.43,-1.006,188,22.9,38.28,-86.00,37.03,-2.322,730,22.1,88.47,-0.73,-4.55,Y,Y,Y,Y,—,—
BTCUSDT,katsanos-fve-zero-cross,1h,mode_a|(S14),FAIL,FAIL,-45.02,27.43,-1.641,248,20.2,55.24,-93.00,37.03,-2.511,962,22.3,94.21,-1.40,-6.18,Y,Y,Y,Y,—,—
BTCUSDT,katsanos-fve-zero-cross,1h,mode_a|(S18),FAIL,FAIL,-38.46,27.43,-1.402,224,19.6,48.83,-90.81,37.03,-2.452,848,20.4,92.35,-1.13,-5.55,Y,Y,Y,Y,—,—
BTCUSDT,katsanos-fve-zero-cross,1h,mode_a|(S30),FAIL,FAIL,-27.67,27.43,-1.009,150,21.3,40.69,-80.96,37.03,-2.186,587,22.3,85.44,-0.73,-3.83,Y,Y,Y,Y,—,—
BTCUSDT,katsanos-fve-zero-cross,4h,mode_a|(S22),FAIL,FAIL,12.76,23.34,0.547,46,28.3,20.89,-33.32,36.92,-0.903,187,25.7,58.72,0.40,-0.74,Y,Y,Y,Y,—,—
BTCUSDT,katsanos-fve-zero-cross,4h,mode_a|(S14),FAIL,FAIL,-3.89,23.34,-0.167,60,26.7,28.85,-18.31,36.92,-0.496,223,28.3,63.18,-0.02,-0.22,Y,Y,Y,Y,—,—
BTCUSDT,katsanos-fve-zero-cross,4h,mode_a|(S18),FAIL,FAIL,4.40,23.34,0.189,51,27.5,27.65,-40.01,36.92,-1.084,206,27.7,66.73,0.21,-1.00,Y,Y,Y,Y,—,—
BTCUSDT,katsanos-fve-zero-cross,4h,mode_a|(S30),FAIL,FAIL,24.62,23.34,1.055,40,32.5,17.66,-29.00,36.92,-0.786,185,25.9,59.45,0.64,-0.62,Y,Y,Y,Y,—,Near-miss 6m (1.05x B&H)
BTCUSDT,ehlers-convolution-zero,1h,"mode_a|(L18,T0.05)",FAIL,FAIL,-80.47,27.43,-2.934,516,22.3,80.84,-99.82,37.03,-2.695,2026,25.2,99.82,-3.98,-14.46,Y,Y,Y,Y,—,—
BTCUSDT,ehlers-convolution-zero,1h,"mode_a|(L13,T0.05)",FAIL,FAIL,-83.19,27.43,-3.033,601,22.1,84.56,-99.91,37.03,-2.698,2359,25.4,99.92,-4.33,-16.01,Y,Y,Y,Y,—,—
BTCUSDT,ehlers-convolution-zero,1h,"mode_a|(L26,T0.05)",FAIL,FAIL,-68.76,27.43,-2.507,430,27.0,69.02,-99.45,37.03,-2.685,1737,27.4,99.45,-2.85,-12.09,Y,Y,Y,Y,—,—
BTCUSDT,ehlers-convolution-zero,1h,"mode_a|(L39,T0.05)",FAIL,FAIL,-61.89,27.43,-2.257,368,27.2,63.83,-99.07,37.03,-2.675,1480,26.9,99.10,-2.36,-11.32,Y,Y,Y,Y,—,—
BTCUSDT,ehlers-convolution-zero,4h,"mode_a|(L18,T0.05)",FAIL,FAIL,-22.41,23.34,-0.960,126,33.3,25.68,-73.90,36.92,-2.001,508,38.8,74.36,-0.61,-3.18,Y,Y,Y,Y,—,—
BTCUSDT,ehlers-convolution-zero,4h,"mode_a|(L13,T0.05)",FAIL,FAIL,-8.67,23.34,-0.371,146,39.7,21.62,-79.99,36.92,-2.166,593,37.4,81.06,-0.20,-3.82,Y,Y,Y,Y,—,—
BTCUSDT,ehlers-convolution-zero,4h,"mode_a|(L26,T0.05)",FAIL,FAIL,-5.48,23.34,-0.235,100,45.0,14.63,-79.11,36.92,-2.143,425,35.5,80.37,-0.11,-3.72,Y,Y,Y,Y,—,—
BTCUSDT,ehlers-convolution-zero,4h,"mode_a|(L39,T0.05)",FAIL,FAIL,-20.40,23.34,-0.874,84,47.6,23.80,-79.48,36.92,-2.153,361,39.6,80.40,-0.55,-3.77,Y,Y,Y,Y,—,—
BTCUSDT,hilbert-inst-trendline-cross,1h,mode_a|(close),FAIL,FAIL,-50.95,27.43,-1.858,248,19.4,61.18,-94.14,37.03,-2.542,971,16.6,95.46,-1.69,-6.61,Y,Y,Y,Y,—,—
