Symbol,Strategy ID,TF,Params,BTC Smoke,ETH Smoke,SOL Smoke,BNB Smoke,Retention,n (6m),WR (6m),Ret (6m),B&H (6m),Ratio (6m),PASS_6m,n (full),WR (full),Ret (full),B&H (full),Ratio (full),PASS_full,Ops Ret (6m),Ops Ret (full),Notes
BTCUSDT,pee-ttf-zero-cross,1h,mode_a|(L15),Y,Y,Y,Y,—,86,34.88,-18.9161,10.1317,-1.8670,FAIL,361,31.58,-55.9481,26.4719,-2.1135,FAIL,-0.4547,-1.8011,—
BTCUSDT,pee-ttf-zero-cross,1h,mode_a|(L10),Y,Y,Y,Y,—,137,31.39,-15.6760,10.1317,-1.5472,FAIL,550,30.00,-70.1867,26.4719,-2.6514,FAIL,-0.3517,-2.7248,—
BTCUSDT,pee-ttf-zero-cross,1h,mode_a|(L20),Y,Y,Y,Y,—,71,32.39,-16.7018,10.1317,-1.6485,FAIL,287,28.22,-57.2896,26.4719,-2.1642,FAIL,-0.3922,-1.8827,—
BTCUSDT,pee-ttf-zero-cross,1h,mode_b|(L15),Y,Y,Y,Y,—,40,37.50,-6.8023,10.1317,-0.6714,FAIL,148,34.46,-6.5820,26.4719,-0.2486,FAIL,-0.1207,0.0533,—
BTCUSDT,pee-ttf-zero-cross,4h,mode_a|(L15),Y,Y,Y,Y,—,26,30.77,-16.0271,8.7446,-1.8328,FAIL,98,31.63,-47.6612,27.4297,-1.7376,FAIL,-0.3564,-1.3597,—
BTCUSDT,pee-ttf-zero-cross,4h,mode_a|(L10),Y,Y,Y,Y,—,34,32.35,-7.2607,8.7446,-0.8303,FAIL,132,37.12,-2.8552,27.4297,-0.1041,FAIL,-0.1019,0.2131,—
BTCUSDT,pee-ttf-zero-cross,4h,mode_a|(L20),Y,Y,Y,Y,—,17,29.41,4.7308,8.7446,0.5410,FAIL,74,31.08,-32.0633,27.4297,-1.1689,FAIL,0.1839,-0.7514,—
BTCUSDT,pee-ttf-zero-cross,4h,mode_b|(L15),Y,Y,Y,Y,—,6,66.67,35.5172,8.7446,4.0616,PASS,38,36.84,-12.5764,27.4297,-0.4585,FAIL,0.8275,-0.1048,THIN-N FLAG (BTC 6m n=6 in thin band [6..10])
BTCUSDT,hannula-pfe-zero-cross,1h,"mode_a|(p10,s5)",Y,Y,Y,Y,—,189,24.87,-38.0293,10.1317,-3.7535,FAIL,711,24.33,-83.6823,26.4719,-3.1612,FAIL,-1.1254,-4.1852,—
BTCUSDT,hannula-pfe-zero-cross,1h,"mode_a|(p8,s3)",Y,Y,Y,Y,—,247,22.67,-50.4157,10.1317,-4.9760,FAIL,964,23.96,-92.3905,26.4719,-3.4901,FAIL,-1.6672,-6.0117,—
BTCUSDT,hannula-pfe-zero-cross,1h,"mode_a|(p14,s8)",Y,Y,Y,Y,—,113,26.55,-24.1149,10.1317,-2.3801,FAIL,461,27.98,-69.1389,26.4719,-2.6118,FAIL,-0.6276,-2.6492,—
BTCUSDT,hannula-pfe-zero-cross,1h,"mode_b|(p10,s5)",Y,Y,Y,Y,—,1,0.00,-0.8259,10.1317,-0.0815,FAIL,4,50.00,-0.0591,26.4719,-0.0022,FAIL,-0.0207,-0.0011,TINY-N KILL (BTC 6m n=1 <= 5 despite -0.08x B&H)
BTCUSDT,hannula-pfe-zero-cross,4h,"mode_a|(p10,s5)",Y,Y,Y,Y,—,36,27.78,-2.5820,8.7446,-0.2953,FAIL,156,31.41,7.0753,27.4297,0.2579,FAIL,0.0056,0.4085,—
BTCUSDT,hannula-pfe-zero-cross,4h,"mode_a|(p8,s3)",Y,Y,Y,Y,—,58,31.03,-7.1474,8.7446,-0.8173,FAIL,226,29.20,-43.2567,27.4297,-1.5770,FAIL,-0.1249,-1.1603,—
