symbol,strategy_id,tf,mode_params,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,asi-dual-break-v1,1h,N55|T_atr_1.5x,16,31.2,3.26,5.87,0.555,N,68,35.3,7.91,32.11,0.247,N,0.15,0.48,
BTCUSDT,asi-dual-break-v1,1h,N55|T_atr_2x,16,31.2,3.26,5.87,0.555,N,68,35.3,7.91,32.11,0.247,N,0.15,0.48,
BTCUSDT,asi-dual-break-v1,1h,N55|T_pct_1%,19,36.8,3.88,5.87,0.660,N,76,34.2,0.21,32.11,0.007,N,0.17,0.32,
BTCUSDT,asi-dual-break-v1,1h,N55|T_pct_2%,19,36.8,3.88,5.87,0.660,N,76,34.2,0.21,32.11,0.007,N,0.17,0.32,
BTCUSDT,asi-dual-break-v1,1h,N55|T_pct_3%,19,36.8,3.88,5.87,0.660,N,76,34.2,0.21,32.11,0.007,N,0.17,0.32,
BTCUSDT,asi-dual-break-v1,4h,N10|T_atr_0.5x,24,29.2,-10.83,7.22,-1.499,N,83,36.1,4.12,31.52,0.131,N,-0.23,0.39,
BTCUSDT,asi-dual-break-v1,4h,N10|T_atr_1x,24,29.2,-10.83,7.22,-1.499,N,83,36.1,4.12,31.52,0.131,N,-0.23,0.39,
BTCUSDT,asi-dual-break-v1,4h,N10|T_atr_1.5x,24,29.2,-10.83,7.22,-1.499,N,83,36.1,4.12,31.52,0.131,N,-0.23,0.39,
BTCUSDT,asi-dual-break-v1,4h,N10|T_atr_2x,24,29.2,-10.83,7.22,-1.499,N,83,36.1,4.12,31.52,0.131,N,-0.23,0.39,
BTCUSDT,asi-dual-break-v1,4h,N10|T_pct_1%,24,29.2,-10.83,7.22,-1.499,N,85,35.3,-5.75,31.52,-0.182,N,-0.23,0.14,
BTCUSDT,asi-dual-break-v1,4h,N10|T_pct_2%,24,29.2,-10.83,7.22,-1.499,N,85,35.3,-5.75,31.52,-0.182,N,-0.23,0.14,
BTCUSDT,asi-dual-break-v1,4h,N10|T_pct_3%,24,29.2,-10.83,7.22,-1.499,N,85,35.3,-5.75,31.52,-0.182,N,-0.23,0.14,
BTCUSDT,asi-dual-break-v1,4h,N20|T_atr_0.5x,8,50.0,23.81,7.22,3.296,Y,45,31.1,-12.16,31.52,-0.386,N,0.60,-0.10,
BTCUSDT,asi-dual-break-v1,4h,N20|T_atr_1x,8,50.0,23.81,7.22,3.296,Y,45,31.1,-12.16,31.52,-0.386,N,0.60,-0.10,
BTCUSDT,asi-dual-break-v1,4h,N20|T_atr_1.5x,8,50.0,23.81,7.22,3.296,Y,45,31.1,-12.16,31.52,-0.386,N,0.60,-0.10,
BTCUSDT,asi-dual-break-v1,4h,N20|T_atr_2x,8,50.0,23.81,7.22,3.296,Y,45,31.1,-12.16,31.52,-0.386,N,0.60,-0.10,
BTCUSDT,asi-dual-break-v1,4h,N20|T_pct_1%,8,50.0,23.81,7.22,3.296,Y,44,29.5,-5.81,31.52,-0.184,N,0.60,0.08,
BTCUSDT,asi-dual-break-v1,4h,N20|T_pct_2%,8,50.0,23.81,7.22,3.296,Y,44,29.5,-5.81,31.52,-0.184,N,0.60,0.08,
BTCUSDT,asi-dual-break-v1,4h,N20|T_pct_3%,8,50.0,23.81,7.22,3.296,Y,44,29.5,-5.81,31.52,-0.184,N,0.60,0.08,
BTCUSDT,asi-dual-break-v1,4h,N55|T_atr_0.5x,4,50.0,15.82,7.22,2.191,Y,16,31.2,30.64,31.52,0.972,N,0.40,0.95,
BTCUSDT,asi-dual-break-v1,4h,N55|T_atr_1x,4,50.0,15.82,7.22,2.191,Y,16,31.2,30.64,31.52,0.972,N,0.40,0.95,
BTCUSDT,asi-dual-break-v1,4h,N55|T_atr_1.5x,4,50.0,15.82,7.22,2.191,Y,16,31.2,30.64,31.52,0.972,N,0.40,0.95,
BTCUSDT,asi-dual-break-v1,4h,N55|T_atr_2x,4,50.0,15.82,7.22,2.191,Y,16,31.2,30.64,31.52,0.972,N,0.40,0.95,
BTCUSDT,asi-dual-break-v1,4h,N55|T_pct_1%,4,50.0,15.82,7.22,2.191,Y,17,29.4,33.30,31.52,1.057,N,0.40,1.01,
BTCUSDT,asi-dual-break-v1,4h,N55|T_pct_2%,4,50.0,15.82,7.22,2.191,Y,17,29.4,33.30,31.52,1.057,N,0.40,1.01,
BTCUSDT,asi-dual-break-v1,4h,N55|T_pct_3%,4,50.0,15.82,7.22,2.191,Y,17,29.4,33.30,31.52,1.057,N,0.40,1.01,
ETHUSDT,asi-dual-break-v1,4h,N20|T_atr_0.5x,11,36.4,9.97,10.63,0.937,N,47,31.9,-33.35,6.29,-5.305,N,0.33,-0.43,
ETHUSDT,asi-dual-break-v1,4h,N20|T_atr_1x,11,36.4,9.97,10.63,0.937,N,47,31.9,-33.35,6.29,-5.305,N,0.33,-0.43,
ETHUSDT,asi-dual-break-v1,4h,N20|T_atr_1.5x,11,36.4,9.97,10.63,0.937,N,47,31.9,-33.35,6.29,-5.305,N,0.33,-0.43,
ETHUSDT,asi-dual-break-v1,4h,N20|T_atr_2x,11,36.4,9.97,10.63,0.937,N,47,31.9,-33.35,6.29,-5.305,N,0.33,-0.43,
ETHUSDT,asi-dual-break-v1,4h,N20|T_pct_1%,12,33.3,4.34,10.63,0.408,N,50,32.0,-37.43,6.29,-5.953,N,0.20,-0.58,
ETHUSDT,asi-dual-break-v1,4h,N20|T_pct_2%,12,33.3,4.34,10.63,0.408,N,50,32.0,-37.43,6.29,-5.953,N,0.20,-0.58,
ETHUSDT,asi-dual-break-v1,4h,N20|T_pct_3%,12,33.3,4.34,10.63,0.408,N,50,32.0,-37.43,6.29,-5.953,N,0.20,-0.58,
ETHUSDT,asi-dual-break-v1,4h,N55|T_atr_0.5x,5,20.0,14.62,10.63,1.375,Y,20,25.0,4.73,6.29,0.753,N,0.51,0.73,
ETHUSDT,asi-dual-break-v1,4h,N55|T_atr_1x,5,20.0,14.62,10.63,1.375,Y,20,25.0,4.73,6.29,0.753,N,0.51,0.73,
ETHUSDT,asi-dual-break-v1,4h,N55|T_atr_1.5x,5,20.0,14.62,10.63,1.375,Y,20,25.0,4.73,6.29,0.753,N,0.51,0.73,
ETHUSDT,asi-dual-break-v1,4h,N55|T_atr_2x,5,20.0,14.62,10.63,1.375,Y,20,25.0,4.73,6.29,0.753,N,0.51,0.73,
ETHUSDT,asi-dual-break-v1,4h,N55|T_pct_1%,6,33.3,0.66,10.63,0.062,N,21,28.6,-0.37,6.29,-0.059,N,0.06,0.47,
ETHUSDT,asi-dual-break-v1,4h,N55|T_pct_2%,6,33.3,0.66,10.63,0.062,N,21,28.6,-0.37,6.29,-0.059,N,0.06,0.47,
ETHUSDT,asi-dual-break-v1,4h,N55|T_pct_3%,6,33.3,0.66,10.63,0.062,N,21,28.6,-0.37,6.29,-0.059,N,0.06,0.47,
SOLUSDT,asi-dual-break-v1,4h,N55|T_atr_0.5x,5,20.0,-3.06,9.98,-0.306,N,19,31.6,-31.93,-24.76,1.289,N,0.04,-0.52,SOL filter
SOLUSDT,asi-dual-break-v1,4h,N55|T_atr_1x,5,20.0,-3.06,9.98,-0.306,N,19,31.6,-31.93,-24.76,1.289,N,0.04,-0.52,SOL filter
SOLUSDT,asi-dual-break-v1,4h,N55|T_atr_1.5x,5,20.0,-3.06,9.98,-0.306,N,19,31.6,-31.93,-24.76,1.289,N,0.04,-0.52,SOL filter
SOLUSDT,asi-dual-break-v1,4h,N55|T_atr_2x,5,20.0,-3.06,9.98,-0.306,N,19,31.6,-31.93,-24.76,1.289,N,0.04,-0.52,SOL filter
