strategy_id,TF,mode,p,x,q,btc_n_6m,btc_wr_6m,btc_ret_6m,btc_bh_6m,btc_x_bh_6m,btc_pass_6m,btc_smoke,eth_n_6m,eth_ret_6m,eth_bh_6m,eth_x_bh_6m,eth_pass_6m,eth_smoke,sol_n_6m,sol_ret_6m,sol_bh_6m,sol_x_bh_6m,sol_pass_6m,sol_smoke,bnb_n_6m,bnb_ret_6m,bnb_bh_6m,bnb_x_bh_6m,bnb_pass_6m,bnb_smoke,full_ladder_pass_6m,btc_ret_2y,btc_n_2y,btc_bh_2y,btc_ops_ret_2y,notes
chande-kroll-stop-flip,4h,A,14,1.2,11,19,42.11,16.06,23.52,0.683,N,FAIL: lag B&H (0.683x),20,12.99,30.24,0.430,N,FAIL: under 1.2x B&H (0.430x),20,27.02,32.43,0.833,N,"FAIL: under 1.2x B&H (0.833x, 0.922x rhyme)",23,7.79,26.27,0.296,N,"FAIL: under 1.2x B&H (0.296x, quiet wipe)",N,-0.88,86,37.14,0.28,denser_n(19>>9)
chande-kroll-stop-flip,4h,A,14,1.0,14,15,40.00,16.04,23.52,0.682,N,FAIL: lag B&H (0.682x),15,15.67,30.24,0.518,N,FAIL: under 1.2x B&H (0.518x),16,22.97,32.43,0.708,N,"FAIL: under 1.2x B&H (0.708x, 0.922x rhyme)",18,0.83,26.27,0.032,N,"FAIL: under 1.2x B&H (0.032x, quiet wipe)",N,3.40,65,37.14,0.30,denser_n(15>>9)
chande-kroll-stop-flip,1h,A,10,1.0,14,71,36.62,18.14,26.77,0.678,N,FAIL: lag B&H (0.678x),78,23.73,35.57,0.667,N,FAIL: under 1.2x B&H (0.667x),84,7.14,38.52,0.185,N,"FAIL: under 1.2x B&H (0.185x, 0.922x rhyme)",81,7.69,28.88,0.266,N,"FAIL: under 1.2x B&H (0.266x, quiet wipe)",N,-52.81,341,37.55,-1.60,denser_n(71>>9)
chande-kroll-stop-flip,4h,A,14,0.8,7,20,45.00,15.70,23.52,0.667,N,FAIL: lag B&H (0.667x),19,11.97,30.24,0.396,N,FAIL: under 1.2x B&H (0.396x),20,18.16,32.43,0.560,N,"FAIL: under 1.2x B&H (0.560x, 0.922x rhyme)",20,7.72,26.27,0.294,N,"FAIL: under 1.2x B&H (0.294x, quiet wipe)",N,13.02,82,37.14,0.61,denser_n(20>>9)
chande-kroll-stop-flip,4h,A,12,1.2,11,22,40.91,15.63,23.52,0.665,N,FAIL: lag B&H (0.665x),22,20.34,30.24,0.673,N,FAIL: under 1.2x B&H (0.673x),22,18.48,32.43,0.570,N,"FAIL: under 1.2x B&H (0.570x, 0.922x rhyme)",28,2.43,26.27,0.093,N,"FAIL: under 1.2x B&H (0.093x, quiet wipe)",N,6.41,94,37.14,0.47,denser_n(22>>9)
chande-kroll-stop-flip,1h,A,12,1.0,11,74,37.84,17.63,26.77,0.659,N,FAIL: lag B&H (0.659x),82,20.23,35.57,0.569,N,FAIL: under 1.2x B&H (0.569x),89,7.01,38.52,0.182,N,"FAIL: under 1.2x B&H (0.182x, 0.922x rhyme)",86,1.54,28.88,0.053,N,"FAIL: under 1.2x B&H (0.053x, quiet wipe)",N,-57.68,366,37.55,-1.86,denser_n(74>>9)
chande-kroll-stop-flip,1h,A,12,0.8,11,68,39.71,17.55,26.77,0.656,N,FAIL: lag B&H (0.656x),69,20.20,35.57,0.568,N,FAIL: under 1.2x B&H (0.568x),79,5.43,38.52,0.141,N,"FAIL: under 1.2x B&H (0.141x, 0.922x rhyme)",76,8.81,28.88,0.305,N,"FAIL: under 1.2x B&H (0.305x, quiet wipe)",N,-56.41,322,37.55,-1.80,denser_n(68>>9)
chande-kroll-stop-flip,4h,A,14,0.8,9,18,50.00,15.23,23.52,0.648,N,FAIL: lag B&H (0.648x),18,5.91,30.24,0.195,N,FAIL: under 1.2x B&H (0.195x),18,13.19,32.43,0.407,N,"FAIL: under 1.2x B&H (0.407x, 0.922x rhyme)",19,0.28,26.27,0.011,N,"FAIL: under 1.2x B&H (0.011x, quiet wipe)",N,-0.34,76,37.14,0.29,denser_n(18>>9)
chande-kroll-stop-flip,4h,A,10,1.0,14,19,42.11,15.09,23.52,0.642,N,FAIL: lag B&H (0.642x),19,7.90,30.24,0.261,N,FAIL: under 1.2x B&H (0.261x),20,12.71,32.43,0.392,N,"FAIL: under 1.2x B&H (0.392x, 0.922x rhyme)",21,4.82,26.27,0.184,N,"FAIL: under 1.2x B&H (0.184x, quiet wipe)",N,1.17,80,37.14,0.32,denser_n(19>>9)
chande-kroll-stop-flip,4h,A,8,1.0,14,22,40.91,15.07,23.52,0.641,N,FAIL: lag B&H (0.641x),20,17.16,30.24,0.567,N,FAIL: under 1.2x B&H (0.567x),20,26.40,32.43,0.814,N,"FAIL: under 1.2x B&H (0.814x, 0.922x rhyme)",24,8.40,26.27,0.320,N,"FAIL: under 1.2x B&H (0.320x, quiet wipe)",N,16.66,85,37.14,0.70,denser_n(22>>9)
chande-kroll-stop-flip,1h,A,14,0.8,7,74,37.84,17.03,26.77,0.636,N,FAIL: lag B&H (0.636x),82,5.69,35.57,0.160,N,FAIL: under 1.2x B&H (0.160x),87,2.63,38.52,0.068,N,"FAIL: under 1.2x B&H (0.068x, 0.922x rhyme)",85,4.31,28.88,0.149,N,"FAIL: under 1.2x B&H (0.149x, quiet wipe)",N,-47.80,354,37.55,-1.35,denser_n(74>>9)
chande-kroll-stop-flip,4h,A,12,0.8,11,18,50.00,14.93,23.52,0.635,N,FAIL: lag B&H (0.635x),18,5.86,30.24,0.194,N,FAIL: under 1.2x B&H (0.194x),18,12.30,32.43,0.379,N,"FAIL: under 1.2x B&H (0.379x, 0.922x rhyme)",19,0.28,26.27,0.011,N,"FAIL: under 1.2x B&H (0.011x, quiet wipe)",N,-1.27,75,37.14,0.27,denser_n(18>>9)
chande-kroll-stop-flip,4h,A,8,1.5,7,52,32.69,14.80,23.52,0.629,N,FAIL: lag B&H (0.629x),50,8.40,30.24,0.278,N,FAIL: under 1.2x B&H (0.278x),52,15.18,32.43,0.468,N,"FAIL: under 1.2x B&H (0.468x, 0.922x rhyme)",50,1.55,26.27,0.059,N,"FAIL: under 1.2x B&H (0.059x, quiet wipe)",N,-33.85,201,37.14,-0.81,denser_n(52>>9)
chande-kroll-stop-flip,1h,A,14,0.8,11,60,36.67,16.53,26.77,0.618,N,FAIL: lag B&H (0.618x),66,18.21,35.57,0.512,N,FAIL: under 1.2x B&H (0.512x),71,12.36,38.52,0.321,N,"FAIL: under 1.2x B&H (0.321x, 0.922x rhyme)",67,12.11,28.88,0.419,N,"FAIL: under 1.2x B&H (0.419x, quiet wipe)",N,-40.01,282,37.55,-1.02,denser_n(60>>9)
chande-kroll-stop-flip,4h,A,12,1.2,9,25,36.00,14.41,23.52,0.613,N,FAIL: lag B&H (0.613x),25,17.35,30.24,0.574,N,FAIL: under 1.2x B&H (0.574x),26,13.89,32.43,0.428,N,"FAIL: under 1.2x B&H (0.428x, 0.922x rhyme)",30,8.70,26.27,0.331,N,"FAIL: under 1.2x B&H (0.331x, quiet wipe)",N,9.63,103,37.14,0.49,denser_n(25>>9)
