symbol,strategy_id,tf,mode_params,sol_smoke,bnb_smoke,sol_retention_note,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,blau-csi-ergodic-signal-cross-v1,1h,"mode_a|(r20,ul3)",Y,Y,—,295,25.76,-59.7491,10.1317,-5.8972,FAIL,1140,27.11,-95.6987,26.4719,-3.6151,FAIL,-2.2064,-7.3311,—
BTCUSDT,blau-csi-ergodic-signal-cross-v1,1h,"mode_a|(r14,ul3)",Y,Y,—,311,26.69,-63.1580,10.1317,-6.2337,FAIL,1218,27.50,-96.7813,26.4719,-3.6560,FAIL,-2.4221,-7.9926,—
BTCUSDT,blau-csi-ergodic-signal-cross-v1,1h,"mode_a|(r25,ul3)",Y,Y,—,296,24.66,-64.2639,10.1317,-6.3428,FAIL,1118,26.74,-96.0441,26.4719,-3.6282,FAIL,-2.4979,-7.5271,—
BTCUSDT,blau-csi-ergodic-signal-cross-v1,1h,"mode_b|(r20,ul3)",Y,Y,—,117,23.08,-29.6231,10.1317,-2.9238,FAIL,450,23.78,-69.4194,26.4719,-2.6224,FAIL,-0.8651,-2.8492,—
BTCUSDT,blau-csi-ergodic-signal-cross-v1,4h,"mode_a|(r20,ul3)",Y,Y,—,73,31.51,-25.7276,8.7446,-2.9421,FAIL,274,33.58,-48.0018,27.4297,-1.7500,FAIL,-0.6948,-1.3990,—
BTCUSDT,blau-csi-ergodic-signal-cross-v1,4h,"mode_a|(r14,ul3)",Y,Y,—,80,32.50,-27.3453,8.7446,-3.1271,FAIL,291,37.46,-40.2212,27.4297,-1.4663,FAIL,-0.7455,-1.0421,—
BTCUSDT,blau-csi-ergodic-signal-cross-v1,4h,"mode_a|(r25,ul3)",Y,Y,—,72,31.94,-31.7661,8.7446,-3.6326,FAIL,277,32.85,-55.3843,27.4297,-2.0191,FAIL,-0.9034,-1.7773,—
BTCUSDT,blau-csi-ergodic-signal-cross-v1,4h,"mode_b|(r20,ul3)",Y,Y,—,27,18.52,-7.3076,8.7446,-0.8357,FAIL,98,29.59,0.2378,27.4297,0.0087,FAIL,-0.1688,0.0869,—
BTCUSDT,ehlers-edcf-filt-lag-cross-v1,1h,"mode_a|(L15,lag2)",Y,Y,—,339,24.19,-60.4434,10.1317,-5.9658,FAIL,1388,24.50,-97.1332,26.4719,-3.6693,FAIL,-2.2439,-8.2830,—
BTCUSDT,ehlers-edcf-filt-lag-cross-v1,1h,"mode_a|(L10,lag2)",Y,Y,—,400,22.75,-67.7758,10.1317,-6.6895,FAIL,1506,22.31,-99.1779,26.4719,-3.7465,FAIL,-2.7390,-11.1097,—
