symbol,strategy_id,tf,mode_params,gate_6m,gate_full,ret_6m_pct,bh_6m_pct,ratio_6m,n_6m,wr_6m_pct,max_dd_6m_pct,ret_full_pct,bh_full_pct,ratio_full,n_full,wr_full_pct,max_dd_full_pct,ops_ret_6m_pct,ops_ret_full_pct,btc_smoke,eth_smoke,sol_smoke,bnb_smoke,retention_notes,notes
BTCUSDT,ehlers-ec-ema-cross,1h,"mode_a|(len20,gain50,thr0)",FAIL,FAIL,-38.10,27.32,-1.395,189,20.1,50.66,-86.94,38.14,-2.279,750,20.1,91.20,-1.12,-4.71,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,ehlers-ec-ema-cross,1h,"mode_a|(len12,gain22,thr0)",FAIL,FAIL,-44.54,27.32,-1.630,223,20.6,54.08,-90.40,38.14,-2.370,875,20.7,92.26,-1.38,-5.45,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,ehlers-ec-ema-cross,1h,"mode_a|(len32,gain50,thr0)",FAIL,FAIL,-15.97,27.32,-0.585,105,23.8,32.27,-60.27,38.14,-1.580,435,23.4,75.18,-0.37,-2.06,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,ehlers-ec-ema-cross,1h,"mode_b|(len20,gain50,thr0.75)",FAIL,FAIL,-1.88,27.32,-0.069,7,57.1,4.10,-15.26,38.14,-0.400,28,35.7,20.82,-0.05,-0.40,Y,Y,Y,Y,—,THIN-N FLAG (BTC 6m n=7 in thin band [6..10]); BTC LEAD PRIMARY CRITICAL
BTCUSDT,ehlers-ec-ema-cross,4h,"mode_a|(len20,gain50,thr0)",FAIL,FAIL,2.75,23.34,0.118,47,27.7,23.69,-29.07,36.92,-0.787,174,21.8,66.41,0.16,-0.53,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,ehlers-ec-ema-cross,4h,"mode_a|(len12,gain22,thr0)",FAIL,FAIL,9.41,23.34,0.403,51,27.5,19.47,-17.74,36.92,-0.480,206,25.2,59.34,0.32,-0.20,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,ehlers-ec-ema-cross,4h,"mode_a|(len32,gain50,thr0)",FAIL,FAIL,4.88,23.34,0.209,30,33.3,19.12,-13.90,36.92,-0.377,112,26.8,54.66,0.19,-0.05,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,ehlers-ec-ema-cross,4h,"mode_b|(len20,gain50,thr0.75)",FAIL,FAIL,-1.91,23.34,-0.082,5,40.0,9.77,-34.03,36.92,-0.922,35,20.0,43.91,-0.04,-0.99,Y,Y,Y,Y,—,TINY-N KILL (BTC 6m n=5 <= 5); BTC LEAD PRIMARY CRITICAL
BTCUSDT,vervoort-zlha-typ-cross,1h,mode_a|(N34),FAIL,FAIL,-38.89,27.32,-1.423,202,26.2,50.69,-87.50,38.14,-2.294,798,25.6,90.20,-1.14,-4.80,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,vervoort-zlha-typ-cross,1h,mode_a|(N21),FAIL,FAIL,-55.86,27.32,-2.045,276,23.2,60.88,-91.61,38.14,-2.402,1029,26.9,92.67,-1.97,-5.78,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
