symbol,strategy_id,tf,mode_params,gate_6m,gate_full,ret_6m_pct,bh_6m_pct,ratio_6m,n_6m,wr_6m_pct,max_dd_6m_pct,ret_full_pct,bh_full_pct,ratio_full,n_full,wr_full_pct,max_dd_full_pct,ops_ret_6m_pct,ops_ret_full_pct,btc_smoke,eth_smoke,sol_smoke,bnb_smoke,retention_notes,notes
BTCUSDT,percentile-channel-break,1h,"mode_a|(len50,p90,p10)",FAIL,FAIL,-11.40,10.82,-1.054,35,31.4,21.43,-25.62,28.76,-0.891,123,31.7,59.62,-0.23,-0.47,Y,Y,Y,Y,—,—
BTCUSDT,percentile-channel-break,1h,"mode_a|(len70,p90,p10)",FAIL,FAIL,-13.85,10.82,-1.280,29,27.6,27.38,-32.98,28.76,-1.147,99,30.3,65.09,-0.30,-0.68,Y,Y,Y,Y,—,—
BTCUSDT,percentile-channel-break,1h,"mode_a|(len50,p95,p5)",FAIL,FAIL,-14.66,10.82,-1.355,30,26.7,25.81,-26.20,28.76,-0.911,103,32.0,57.69,-0.32,-0.51,Y,Y,Y,Y,—,—
BTCUSDT,percentile-channel-break,1h,"mode_b|(len50,p90,p10,wpr50)",FAIL,FAIL,4.19,10.82,0.387,14,42.9,10.06,4.19,28.76,0.146,62,37.1,35.56,0.16,0.29,Y,Y,Y,Y,—,—
BTCUSDT,percentile-channel-break,4h,"mode_a|(len50,p90,p10)",PASS,PASS,13.21,10.66,1.240,7,42.9,12.36,65.34,28.30,2.309,23,39.1,28.24,0.37,1.66,Y,Y,Y,Y,—,THIN-N FLAG (BTC 6m n=7 in thin band [6..10])
BTCUSDT,percentile-channel-break,4h,"mode_a|(len70,p90,p10)",FAIL,FAIL,9.83,10.66,0.922,5,40.0,16.95,31.64,28.30,1.118,20,25.0,31.06,0.28,1.00,Y,Y,Y,Y,—,TINY-N KILL (BTC 6m n=5 <= 5); Near-miss 6m (0.92x B&H)
BTCUSDT,percentile-channel-break,4h,"mode_a|(len50,p95,p5)",FAIL,PASS,15.97,10.66,1.498,5,60.0,12.31,51.79,28.30,1.830,20,30.0,27.39,0.41,1.42,Y,Y,Y,Y,—,TINY-N KILL (BTC 6m n=5 <= 5)
BTCUSDT,percentile-channel-break,4h,"mode_b|(len50,p90,p10,wpr50)",FAIL,PASS,-15.44,10.66,-1.449,6,33.3,22.93,47.97,28.30,1.695,14,42.9,22.93,-0.40,1.29,Y,Y,Y,Y,—,THIN-N FLAG (BTC 6m n=6 in thin band [6..10])
BTCUSDT,zscore-threshold-hold,1h,"mode_a|(len20,thr1.0,exit0.0)",FAIL,FAIL,-36.78,10.82,-3.400,148,23.6,44.98,-82.97,28.76,-2.885,585,23.9,86.40,-1.08,-4.14,Y,Y,Y,Y,—,—
BTCUSDT,zscore-threshold-hold,1h,"mode_a|(len30,thr1.0,exit0.0)",FAIL,FAIL,-22.37,10.82,-2.068,100,27.0,33.58,-68.13,28.76,-2.369,400,24.8,78.38,-0.58,-2.63,Y,Y,Y,Y,—,—
