symbol,strategy_id,tf,mode_params,gate_6m,gate_full,ret_6m_pct,bh_6m_pct,ratio_6m,n_6m,wr_6m_pct,max_dd_6m_pct,ret_full_pct,bh_full_pct,ratio_full,n_full,wr_full_pct,max_dd_full_pct,ops_ret_6m_pct,ops_ret_full_pct,btc_smoke,eth_smoke,sol_smoke,bnb_smoke,retention_notes,notes
BTCUSDT,katsanos-stiffness-threshold,1h,"mode_a|(mab100,p60,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,5.30,27.32,0.194,15,33.3,18.37,10.13,38.14,0.266,50,34.0,38.49,0.20,0.43,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,katsanos-stiffness-threshold,1h,"mode_a|(mab50,p40,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,24.11,27.32,0.883,19,47.4,19.32,6.45,38.14,0.169,83,37.3,44.16,0.62,0.38,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,katsanos-stiffness-threshold,1h,"mode_a|(mab100,p80,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,22.49,27.32,0.823,8,50.0,8.52,11.76,38.14,0.308,37,37.8,26.38,0.54,0.43,Y,Y,Y,Y,—,THIN-N FLAG (BTC 6m n=8 in thin band [6..10]); BTC LEAD PRIMARY CRITICAL
BTCUSDT,katsanos-stiffness-threshold,1h,"mode_b|(mab100,p60,buy95,sell50)",FAIL,FAIL,19.44,27.32,0.711,12,33.3,11.80,14.62,38.14,0.383,46,32.6,32.51,0.50,0.52,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,katsanos-stiffness-threshold,4h,"mode_a|(mab100,p60,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,1.00,23.34,0.043,3,33.3,9.06,31.81,36.92,0.862,13,30.8,31.91,0.03,0.95,Y,Y,Y,Y,—,TINY-N KILL (BTC 6m n=3 <= 5); BTC LEAD PRIMARY CRITICAL
BTCUSDT,katsanos-stiffness-threshold,4h,"mode_a|(mab50,p40,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,0.57,23.34,0.024,5,40.0,12.38,44.13,36.92,1.195,17,35.3,24.54,0.02,1.16,Y,Y,Y,Y,—,TINY-N KILL (BTC 6m n=5 <= 5); BTC LEAD PRIMARY CRITICAL
BTCUSDT,katsanos-stiffness-threshold,4h,"mode_a|(mab100,p80,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,-4.31,23.34,-0.184,3,33.3,10.57,26.19,36.92,0.709,11,36.4,22.26,-0.11,0.79,Y,Y,Y,Y,—,TINY-N KILL (BTC 6m n=3 <= 5); BTC LEAD PRIMARY CRITICAL
BTCUSDT,katsanos-stiffness-threshold,4h,"mode_b|(mab100,p60,buy95,sell50)",FAIL,FAIL,0.09,23.34,0.004,3,33.3,10.48,13.88,36.92,0.376,13,30.8,38.44,0.01,0.61,Y,Y,Y,Y,—,TINY-N KILL (BTC 6m n=3 <= 5); BTC LEAD PRIMARY CRITICAL
BTCUSDT,cpr-range-break-accept,1h,mode_a|(N24),FAIL,FAIL,-26.49,27.32,-0.970,201,21.9,47.50,-92.08,38.14,-2.414,865,17.5,94.40,-0.69,-5.89,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,cpr-range-break-accept,1h,mode_a|(N12),FAIL,FAIL,-55.03,27.32,-2.014,322,22.0,62.13,-97.50,38.14,-2.556,1288,20.1,97.80,-1.90,-8.56,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,cpr-range-break-accept,1h,mode_a|(N48),FAIL,FAIL,-20.97,27.32,-0.768,145,17.2,33.28,-81.74,38.14,-2.143,612,16.0,87.28,-0.51,-3.91,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,cpr-range-break-accept,1h,"mode_b|(N24,narrow0.002)",FAIL,FAIL,-14.42,27.32,-0.528,167,23.4,39.71,-78.38,38.14,-2.055,692,18.5,85.02,-0.32,-3.55,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,cpr-range-break-accept,4h,mode_a|(N24),FAIL,FAIL,-5.34,23.34,-0.229,52,21.2,30.80,-38.15,36.92,-1.033,207,21.3,69.35,-0.05,-0.86,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,cpr-range-break-accept,4h,mode_a|(N12),FAIL,FAIL,-3.27,23.34,-0.140,73,21.9,26.82,-36.18,36.92,-0.980,287,25.4,67.63,-0.01,-0.87,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,cpr-range-break-accept,4h,mode_a|(N48),FAIL,FAIL,17.51,23.34,0.750,28,25.0,14.97,-25.06,36.92,-0.679,136,22.8,56.72,0.48,-0.48,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,cpr-range-break-accept,4h,"mode_b|(N24,narrow0.002)",FAIL,FAIL,-19.67,23.34,-0.843,27,11.1,20.92,-49.14,36.92,-1.331,115,17.4,55.34,-0.54,-1.61,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,varadi-dvs-stretch-midline,1h,"mode_a|(sum20,rank100,mid50)",FAIL,FAIL,-25.55,27.32,-0.935,149,27.5,39.59,-75.24,38.14,-1.973,663,27.0,83.71,-0.65,-3.12,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,varadi-dvs-stretch-midline,1h,"mode_a|(sum10,rank63,mid50)",FAIL,FAIL,-51.03,27.32,-1.868,243,25.1,59.00,-94.86,38.14,-2.487,980,26.0,96.32,-1.70,-6.85,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,varadi-dvs-stretch-midline,1h,"mode_a|(sum40,rank126,mid50)",FAIL,FAIL,-23.28,27.32,-0.852,107,26.2,33.93,-47.60,38.14,-1.248,446,28.0,66.24,-0.59,-1.37,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,varadi-dvs-stretch-midline,1h,"mode_b|(sum20,rank100,rec40_exit50)",FAIL,FAIL,-20.84,27.32,-0.763,124,30.6,40.58,-64.31,38.14,-1.686,519,32.6,79.07,-0.48,-2.21,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,varadi-dvs-stretch-midline,4h,"mode_a|(sum20,rank100,mid50)",FAIL,FAIL,18.92,23.34,0.811,47,31.9,14.63,-26.00,36.92,-0.704,172,34.9,54.46,0.53,-0.48,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,varadi-dvs-stretch-midline,4h,"mode_a|(sum10,rank63,mid50)",FAIL,FAIL,3.36,23.34,0.144,57,38.6,20.36,-19.14,36.92,-0.518,228,35.5,49.20,0.13,-0.30,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,varadi-dvs-stretch-midline,4h,"mode_a|(sum40,rank126,mid50)",FAIL,FAIL,12.51,23.34,0.536,37,32.4,20.76,-27.96,36.92,-0.757,134,29.1,57.21,0.41,-0.56,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,varadi-dvs-stretch-midline,4h,"mode_b|(sum20,rank100,rec40_exit50)",FAIL,FAIL,25.52,23.34,1.093,34,35.3,13.01,-0.80,36.92,-0.022,128,38.3,46.48,0.67,0.25,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,historical-volatility-ratio-expand-dir,1h,"mode_a|(s10,l100,exp0.5,dir5)",FAIL,FAIL,-13.15,27.32,-0.481,61,14.8,17.87,-41.62,38.14,-1.091,225,21.3,43.62,-0.35,-1.30,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,historical-volatility-ratio-expand-dir,1h,"mode_a|(s6,l50,exp0.4,dir3)",FAIL,FAIL,-16.30,27.32,-0.597,77,19.5,20.88,-63.46,38.14,-1.664,313,21.4,65.47,-0.44,-2.46,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,historical-volatility-ratio-expand-dir,1h,"mode_a|(s14,l100,exp0.6,dir8)",FAIL,FAIL,-15.48,27.32,-0.567,49,20.4,20.18,-37.08,38.14,-0.972,198,26.3,39.88,-0.41,-1.12,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,historical-volatility-ratio-expand-dir,1h,"mode_b|(s10,l100,exp0.5,dir5,comp0.5)",FAIL,FAIL,-13.15,27.32,-0.481,61,14.8,17.87,-41.62,38.14,-1.091,225,21.3,43.62,-0.35,-1.30,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,historical-volatility-ratio-expand-dir,4h,"mode_a|(s10,l100,exp0.5,dir5)",FAIL,FAIL,-14.66,23.34,-0.628,17,11.8,15.70,-4.70,36.92,-0.127,62,33.9,25.35,-0.39,-0.08,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,historical-volatility-ratio-expand-dir,4h,"mode_a|(s6,l50,exp0.4,dir3)",FAIL,FAIL,-4.75,23.34,-0.204,18,22.2,9.80,-23.40,36.92,-0.634,85,24.7,32.65,-0.12,-0.64,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,historical-volatility-ratio-expand-dir,4h,"mode_a|(s14,l100,exp0.6,dir8)",FAIL,FAIL,-5.78,23.34,-0.248,17,29.4,10.35,-9.26,36.92,-0.251,56,26.8,23.06,-0.14,-0.20,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
BTCUSDT,historical-volatility-ratio-expand-dir,4h,"mode_b|(s10,l100,exp0.5,dir5,comp0.5)",FAIL,FAIL,-14.66,23.34,-0.628,17,11.8,15.70,-4.70,36.92,-0.127,62,33.9,25.35,-0.39,-0.08,Y,Y,Y,Y,—,BTC LEAD PRIMARY CRITICAL
ETHUSDT,katsanos-stiffness-threshold,1h,"mode_a|(mab100,p60,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,katsanos-stiffness-threshold,1h,"mode_a|(mab50,p40,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,katsanos-stiffness-threshold,1h,"mode_a|(mab100,p80,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,katsanos-stiffness-threshold,1h,"mode_b|(mab100,p60,buy95,sell50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,katsanos-stiffness-threshold,4h,"mode_a|(mab100,p60,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,katsanos-stiffness-threshold,4h,"mode_a|(mab50,p40,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,katsanos-stiffness-threshold,4h,"mode_a|(mab100,p80,nstd0.2,sm3,buy90,sell50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,katsanos-stiffness-threshold,4h,"mode_b|(mab100,p60,buy95,sell50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,cpr-range-break-accept,1h,mode_a|(N24),FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,cpr-range-break-accept,1h,mode_a|(N12),FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,cpr-range-break-accept,1h,mode_a|(N48),FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,cpr-range-break-accept,1h,"mode_b|(N24,narrow0.002)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,cpr-range-break-accept,4h,mode_a|(N24),FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,cpr-range-break-accept,4h,mode_a|(N12),FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,cpr-range-break-accept,4h,mode_a|(N48),FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,cpr-range-break-accept,4h,"mode_b|(N24,narrow0.002)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,varadi-dvs-stretch-midline,1h,"mode_a|(sum20,rank100,mid50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,varadi-dvs-stretch-midline,1h,"mode_a|(sum10,rank63,mid50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
ETHUSDT,varadi-dvs-stretch-midline,1h,"mode_a|(sum40,rank126,mid50)",FAIL,FAIL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Y,Y,Y,Y,—,Pruned by stop-ladder (BTC PASS_6m required)
