Symbol,Strategy ID,TF,Params,BTC Smoke,ETH Smoke,SOL Smoke,BNB Smoke,Retention,n (6m),WR (6m),Ret (6m),B&H (6m),Ratio (6m),PASS_6m,n (full),WR (full),Ret (full),B&H (full),Ratio (full),PASS_full,Ops Ret (6m),Ops Ret (full),Notes
BTCUSDT,ehlers-spearman-rank-zero,1h,mode_a|(L20),Y,Y,Y,Y,—,116,29.31,-23.3952,11.3716,-2.0573,FAIL,471,29.30,-73.3131,26.9448,-2.7209,FAIL,-0.6084,-3.0173,—
BTCUSDT,ehlers-spearman-rank-zero,1h,mode_a|(L14),Y,Y,Y,Y,—,180,23.33,-35.5117,11.3716,-3.1229,FAIL,687,25.33,-84.0838,26.9448,-3.1206,FAIL,-1.0264,-4.2466,—
BTCUSDT,ehlers-spearman-rank-zero,1h,mode_a|(L28),Y,Y,Y,Y,—,86,32.56,-15.8088,11.3716,-1.3902,FAIL,339,28.61,-61.6753,26.9448,-2.2890,FAIL,-0.3540,-2.1111,—
BTCUSDT,ehlers-spearman-rank-zero,1h,mode_b|(L20),Y,Y,Y,Y,—,106,24.53,-30.0919,11.3716,-2.6462,FAIL,425,28.71,-68.1939,26.9448,-2.5309,FAIL,-0.8495,-2.6196,—
BTCUSDT,ehlers-spearman-rank-zero,4h,mode_a|(L20),Y,Y,Y,Y,—,29,27.59,-12.8129,10.1199,-1.2661,FAIL,112,38.39,9.8663,28.3010,0.3486,FAIL,-0.2713,0.5019,—
BTCUSDT,ehlers-spearman-rank-zero,4h,mode_a|(L14),Y,Y,Y,Y,—,36,30.56,1.8706,10.1199,0.1848,FAIL,161,31.06,5.2862,28.3010,0.1868,FAIL,0.1134,0.3866,—
BTCUSDT,ehlers-spearman-rank-zero,4h,mode_a|(L28),Y,Y,Y,Y,—,24,29.17,-12.4901,10.1199,-1.2342,FAIL,93,25.81,-30.7757,28.3010,-1.0874,FAIL,-0.2712,-0.6363,—
BTCUSDT,ehlers-spearman-rank-zero,4h,mode_b|(L20),Y,Y,Y,Y,—,26,23.08,-11.9014,10.1199,-1.1760,FAIL,103,33.98,-11.9416,28.3010,-0.4220,FAIL,-0.2468,-0.0973,—
BTCUSDT,ehlers-uo2025-hpdiff-zero,1h,"mode_a|(p20,bw2.0)",Y,Y,Y,Y,—,184,28.80,-46.7464,11.3716,-4.1108,FAIL,746,29.49,-91.1904,26.9448,-3.3843,FAIL,-1.5197,-5.6611,—
BTCUSDT,ehlers-uo2025-hpdiff-zero,1h,"mode_a|(p14,bw2.0)",Y,Y,Y,Y,—,272,27.94,-61.0625,11.3716,-5.3697,FAIL,1050,30.38,-95.3494,26.9448,-3.5387,FAIL,-2.2881,-7.1771,—
BTCUSDT,ehlers-uo2025-hpdiff-zero,1h,"mode_a|(p28,bw2.0)",Y,Y,Y,Y,—,143,31.47,-33.6950,11.3716,-2.9631,FAIL,551,33.03,-79.3089,26.9448,-2.9434,FAIL,-0.9815,-3.6321,—
BTCUSDT,ehlers-uo2025-hpdiff-zero,1h,"mode_b|(p20,bw2.0)",Y,Y,Y,Y,—,143,29.37,-40.1448,11.3716,-3.5303,FAIL,561,32.09,-80.1352,26.9448,-2.9741,FAIL,-1.2378,-3.7747,—
BTCUSDT,ehlers-uo2025-hpdiff-zero,4h,"mode_a|(p20,bw2.0)",Y,Y,Y,Y,—,43,44.19,-2.8575,10.1199,-0.2824,FAIL,175,42.86,-2.7277,28.3010,-0.0964,FAIL,-0.0372,0.1206,—
BTCUSDT,ehlers-uo2025-hpdiff-zero,4h,"mode_a|(p14,bw2.0)",Y,Y,Y,Y,—,65,41.54,-14.9183,10.1199,-1.4741,FAIL,251,40.24,-37.1693,28.3010,-1.3134,FAIL,-0.3497,-0.9106,—
BTCUSDT,ehlers-uo2025-hpdiff-zero,4h,"mode_a|(p28,bw2.0)",Y,Y,Y,Y,—,34,35.29,-7.5955,10.1199,-0.7506,FAIL,127,37.80,11.4344,28.3010,0.4040,FAIL,-0.1242,0.5371,—
BTCUSDT,ehlers-uo2025-hpdiff-zero,4h,"mode_b|(p20,bw2.0)",Y,Y,Y,Y,—,36,41.67,-5.4335,10.1199,-0.5369,FAIL,138,42.75,-2.1574,28.3010,-0.0762,FAIL,-0.1074,0.1028,—
